"id_1","id_2","cid_1","cid_2","source_1","source_2","name_1","number_of_votes_1","created_at_1","name_2","number_of_votes_2","created_at_2","service_options_1","service_options_2","brand_id_1","brand_id_2"
"ChIJl2NyF-E9rjsRLQOWgn8Ux7E","18806947","0x3bae3de117726397:0xb1c7147f8296032d","18806947","gmaps_v2","zomato","Lassi Bistro","535","1699615207","Lassi Bistro","9","1688639100","[]","[dining]","lassibistro","N_A"
"ChIJG6Rr__EXrjsRePJ_f7Dnqfc","18728120","0x3bae17f1ff6ba41b:0xf7a9e7b07f7ff278","18728120","gmaps_v2","zomato","Bhairaveshwara Military Hotel","567","1687847039","Bhairaveshwara Military Hotel","18700","1688639100","[]","[dining, delivery]","nan","N_A"
"ChIJM8wMmSUWrjsRFedJCH71RW4","53893","0x3bae1625990ccc33:0x6e45f57e0849e715","53893","gmaps_v2","zomato","Iyer Mess","3947","1699615207","Iyer Mess","5106","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJmzdUidwXrjsRCRUnfuPzFwk","18366652","0x3bae17dc8954379b:0x917f3e37e271509","18366652","gmaps_v2","zomato","Onesta","7031","1699615207","Onesta","16000","1688639100","[]","[dining, delivery]",,"zomato_onesta"
"ChIJmeo8zEc9rjsRppiGBCRiL30","19463666","0x3bae3d47cc3cea99:0x7d2f6224048698a6","19463666","gmaps_v2","zomato","Simply Chats","127","1699615207","Simply Chats","470","1688639100","[]","[dining, delivery]",,"zomato_simply_chats"
"ChIJPYCG7JA9rjsRVzuq4qm_6ek","50579","0x3bae3d90ec86803d:0xe9e9bfa9e2aa3b57","50579","gmaps_v2","zomato","KFC","4202","1699615207","KFC","14300","1688639100","[]","[dining, delivery]","kfc","zomato_kfc"
"ChIJawcbwy4WrjsRsuypj4Ok27g","61647","0x3bae162ec31b076b:0xb8dba4838fa9ecb2","61647","gmaps_v2","zomato","Ganesh Food Joint","720","1699615207","Ganesh Food Joint","5626","1688639100","[]","[dining, delivery]",,"zomato_ganesh_food_joint"
"ChIJ800Gqw09rjsR2X4DDrPVua4","18552847","0x3bae3d0dab064df3:0xaeb9d5b30e037ed9","18552847","gmaps_v2","zomato","Chameleon Lounge Bar","210","1699615207","Chameleon Lounge Bar","197","1688639100","[]","[dining]","comfortinn-insys","N_A"
"ChIJ9ZtCL5Q9rjsRyTcp2IjIdVc","18746600","0x3bae3d942f429bf5:0x5775c888d82937c9","18746600","gmaps_v2","zomato","The World Cafe","83","1699615207","The World Cafe","82","1688639100","[]","[dining]","marriott","N_A"
"ChIJuQg8Fak9rjsRjFTsvH3-7S0","19913885","0x3bae3da9153c08b9:0x2dedfe7dbcec548c","19913885","gmaps_v2","zomato","Bombay bitess","252","1699615207","Bombay Bitess","469","1688639100","[]","[dining, delivery]",,"N_A"
