id,bathrooms,bedrooms,price,name,lat,lng,type,desc,covered_area,carpet_area,trans_type,source
8a9fe182852f584401852f9bcd7b30ac,2.0,2.0,4000000.0,2 BHK Flat  In Sai Madhura Apartments For Sale  In J P Nagar,12.902432892756089,77.5865113576721,AP,Immediate occupation. East facing in a residential area close to bank hospital and market,670.0,550.0,BUY,NoBroker
8a9fb8848a58ec34018a5a1394c03f3f,2.0,2.0,7000000.0,2 BHK Flat  In Vs Cozy Apartments For Sale  In Jp Nagar Phase 6,12.899049986342249,77.58447835997163,AP,"Very neatly maintained
All Amenities and ready for sale",1179.0,1100.0,BUY,NoBroker
8a9fae838c623e0e018c62adfcb84ea1,2.0,2.0,7000000.0,2 BHK Flat  In Gangothri Galaxy For Sale  In Banashankari Temple Ward,12.910204346614307,77.57135923951864,AP,,1220.0,976.0,BUY,NoBroker
8a9ff28285e8828d0185e8b491691f0f,3.0,3.0,13500000.0,3 BHK Flat  In Sri Krishna Residency For Sale  In Jp Nagara 1st Phase,12.910704684405768,77.57431370582836,AP,"Excellent Location, Vaasthu complied Top 4th Floor apartment, Fully Ventilated, 3 Bedrooms with spacious wardrobes, 3 Bath with Solar water Heater connection, 1 Big Hall with UPVC Balcony, 1 Modular Kitchen, 1 Utility and aesthetically designed Pooja Room, next to BDA park, Very near to JP Nagar and Banashankari Metro Stations,",1600.0,1280.0,BUY,NoBroker
8a9fbb83886c414f01886c8dc7c63137,3.0,3.0,25000000.0,3 BHK Flat  In 100  For Sale  In Panduranga Nagar,12.892854869580011,77.59802341461184,AP,It?s a North Facing 3BHK Apartment built on a 2400 sqft Plot Area. Only 4 units in the apartment and one unit on each floor . The Living area has Italian Marble flooring and the bedrooms have wooden flooring. Two bedrooms have attached bathrooms and there is one common bathroom accessible from the living room. The Living area and pooja have Teak wood frames and shutters and the bedrooms have UPVC windows.Bathrooms fittings are of Jaguar make. Six Passenger Johnson lift to access the floor. CCTV shall be provided at key entry points. Video call facility for the main entrance.,2200.0,2150.0,BUY,NoBroker
8a9fb3827d8967ef017d89944f1e1ec0,2.0,2.0,8400000.0,2 BHK Flat  In Gr Lavender Apartments For Sale  In Arekere,12.8796856,77.5887887,AP,,1150.0,950.0,BUY,NoBroker
8a9fab858b32655d018b33a4a44969a3,3.0,3.0,15000000.0,3 BHK Flat  In Shubhashree Enclave For Sale  In Jp Nagar  7 Th Phase,12.888531937958875,77.5712663680315,AP,New house with woodwork near Bangalore biggest forum mall. 600 Mtrs from metro. 24hrs watchman with 24 hrs CcTv surveillance. Generator backup for the house. Land is BBMP A Khata,1900.0,1560.0,BUY,NoBroker
8a9fe9848aa61960018aa6cf530d4b57,2.0,3.0,7000000.0,3 BHK Flat  In Suraksha Sunflower For Sale  In Bilekahalli,12.899596144150417,77.609178717791,AP,Hi I'm a NRI.,1100.0,880.0,BUY,NoBroker
8a9ffe848a17278d018a17bc63967a3f,4.0,3.0,30000000.0,3 BHK Flat  In Prestige Falcon City For Sale  In Konanakunte,12.887192803695244,77.56467589255143,AP,"Creatively planned and constructed is a 3.5 BHK flat for sale in Konanakunte, Bangalore. It is based at Prestige Falcon City complex, that occupies a prominent place in the locality. This flat for resale is the perfect property for you! This apartment ready to move in the Konanakunte is available for an attractive price of INR 3.15 Cr (negotiable). This contemporary apartment is unfurnished. Promi",2104.0,1450.0,BUY,NoBroker
8a9ff6848a30e75b018a3197aa262cc7,4.0,4.0,24500000.0,4 BHK Flat  In Prestige Elysian For Sale  In Kalena Agrahara,12.8732303,77.59411279999999,AP,,1810.0,1357.0,BUY,NoBroker
