id,name,,active,top_category,category,sub_categories,type,brand_name,brand_id,source,number_of_votes,address,image_url,place_url,verified
ChIJn2lPcGo9rjsR3Y17CQVzyas,Pg malayali Bangloor,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"XHV4+2JJ Pg malayali Bangloor, 80 Feet Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mGNdEfMd3IBcXbYmkQUb4Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=190.44365&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJn2lPcGo9rjsR3Y17CQVzyas,FALSE
ChIJG13TE_s9rjsRjeCtBkyZLmg,Niranjan School,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"XHF2+2XG Niranjan School, 10th Cross Rd, Cholourpalya, Bengaluru, Karnataka 560023",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HTG9dQdzUVBC07lxm2Ue7g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.4491&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJG13TE_s9rjsRjeCtBkyZLmg,FALSE
ChIJj-uwDOU9rjsR97rUK8MU4Xw,Rajendra Education Society,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"Rajendra Education Society, Shop No:#7/5, Tollgate Circle, Magadi Main Rd, behind Pathi Petrol Bunk, Vidyaranya Nagar, Bengaluru, Karnataka 560079",https://lh3.googleusercontent.com/gps-proxy/AE4_-5FqzBkXBrUZy1_l6NrpNyffUTDbhIsQEE50MaG2G8CbJNfPBNl23wRHhpcgW-jF35g0-oTAidf6bmjh_LValdfP_dZED5vl3ERdnQCGQTyOn1dH8iO7jJ4Jo90ahIJ5ifDN6VeDWo0qGPLOkuFHEGRNR6sOxd-_3ZdDSk11n0rzEoQz4v6AymIJAbBebEtC4mOKZ4o=w123-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJj-uwDOU9rjsR97rUK8MU4Xw,FALSE
ChIJ-1ixXWA9rjsRFtt_lyP0aDk,Sri Manjunatha Education Trust,,TRUE,education,college,['Non-profit organization'],N_A,N_A,N_A,gmaps_v2,0,"Sri Manjunatha Education Trust, No.732, S.N. Plaza, HMT Main Road, Near Ramaiah College Bus Stop, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0DSmXkmONwzb-M6WmBhsfA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=13.702624&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJ-1ixXWA9rjsRFtt_lyP0aDk,FALSE
ChIJ74Bdgd8XrjsRJlZqPgZxeMs,St Gregorios Day Care & Play School,,TRUE,education,school,['Day care center' 'Play School'],pre_school,N_A,N_A,gmaps_v2,0,"St Gregorios Day Care & Play School, St. Gregorios Parsonage Complex, No.1/1, 12th Cross, MSR Engineering College Rd, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054",https://lh3.googleusercontent.com/gps-proxy/AE4_-5HzX1BJZbNcf19mGyOxzDZpPWK-V6y4H3koSLpK4gChRKUcZHc9adX7-aS1kiNHEDs7Cddg_6z4h637ux3GWi7yjvY8K232OcyXin04WRzWy8OkxYQu7XGL01P78Bv84RLpgRc7syiI_dmRD8ShWM5sVQajQIo3OnBxlfctIXDDD1zesAjgQav9ewc4OP5tECBFn8s=w123-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ74Bdgd8XrjsRJlZqPgZxeMs,TRUE
ChIJo0Qrk8E9rjsRg4NnB6O_SIQ,Sri Venkat Academy,,TRUE,education,college,['Private Tutor'],N_A,N_A,N_A,gmaps_v2,0,"Sri Venkat Academy, Shop No. 51, 2nd Main, 4th Block, 4th Stage, Near Government Homeopathy College, Siddiah Puranik Road, Basaveshwar Nagar, Agrahara Dasarahalli, Rajajinagar, Bengaluru, Karnataka 560079",https://lh3.googleusercontent.com/gps-proxy/AE4_-5ED6j6ZOJhAoi1Wy69dbvheqBTfbVtAlE07bJa5ug54qwKgRxzVTc5sxRgR21ax1LJiL7j1bFTfQnlIn51PxY90wCGcIDnmmpFw8Z3OO2V0Khene2rdz9F-nbRktlDVh5E5Z9iVHQMrna8J4b9eyrPfL_wR8E47av6sCD5F6KwvH-pHrONzxhBuFgah0XyoDMwy_K0=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJo0Qrk8E9rjsRg4NnB6O_SIQ,FALSE
ChIJbWB2QmY9rjsRlJHeFOGv7Kc,S-TEC COMPUTER EDUCATION,,TRUE,education,college,['Education center'],N_A,N_A,N_A,gmaps_v2,0,"S-TEC COMPUTER EDUCATION, #48, BASAVESHWARNAGAR MAIN ROAD, opposite Government Homeopathy College, Basaveshwar Nagar, Karnataka 560079",https://lh5.googleusercontent.com/p/AF1QipM0rTwpz4e87UC5kfRAzwl2UAg1PrvScB3JZFuh=w92-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJbWB2QmY9rjsRlJHeFOGv7Kc,FALSE
ChIJm18tXYs9rjsRkhzqj3MOgn4,Guru Sai Correspondence College,,TRUE,education,college,['Distance Learning Center' 'College'],N_A,N_A,N_A,gmaps_v2,0,"Guru Sai Correspondence College, No. 23A, Shop No. 2, Ground Floor, 42nd Cross, 4th Block, 7th Main, 3rd Main Rd, Rajajinagar, Bengaluru, Karnataka 560010",https://lh3.googleusercontent.com/gps-proxy/AE4_-5Eur8i4bpDovBYo-8LKDngEb4C8HIbw-mkINy2MoTquF9-N5wcW-rgW4r1akN7LCPBfDOOM-MkVcBGC6wv7rKVH9uwXrpdsTJzXRbrRh-8is4Q4yIhXW1a6xZV98wmhIFxOEIgFX97FYfoEMnGRrSgf42qnCGrlRvSyfIyYWolrN5aPWJf6YXnHnfyvk6C04ygTa7Q=w80-h106-k-no,https://www.google.com/maps/place/?q=place_id:ChIJm18tXYs9rjsRkhzqj3MOgn4,FALSE
ChIJAQAA0GA9rjsRczT0eh6tT7E,A H Memorial Education Trust,,TRUE,education,college,['School'],N_A,N_A,N_A,gmaps_v2,0,"A H Memorial Education Trust, Ca/4, Gokula 1st Stage, HMT Layout, Ravindra Tagore Nagar, Bengaluru, Karnataka 560032",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aSQI31zB3yW59Tsthr3Q0Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=152.4707&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJAQAA0GA9rjsRczT0eh6tT7E,FALSE
ChIJLcpWfp89rjsRtvxIHmF9kac,Shanthiniketan school,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Shanthiniketan school, No. 16,3rd b cross 3rd main, Byraveshwaranagar, Sunkadakatte, Bengaluru, Karnataka 560086",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YNS9SJMIg6xn8e0dSqKkfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=0.4879217&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJLcpWfp89rjsRtvxIHmF9kac,FALSE
