id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day,brand_id,brand_name
ChIJXx535Io9rjsRxPHSPe5DJvw,Toscano,13.01132583618164,77.55533599853516,restaurant,4827,gmaps_v2,1525164230.0,1699615207,2.766966446969225e-05,toscano,Toscano
ChIJw8PDi9wXrjsRJ8SGGaaFtrk,McDonald's,13.03343391418457,77.53109741210938,restaurant,6059,gmaps_v2,1480443126.0,1699615207,2.764494443067317e-05,mcdelivery,McDonald's
59668,By 2 Coffee,12.998310622,77.5696399435,restaurant,8019,zomato,1397932200.0,1688639100,2.758448457879741e-05,zomato_by_2_coffee,By 2 Coffee
56016,Hotel Kadamba Veg,12.9974957,77.5474606,restaurant,8000,zomato,1397932200.0,1688639100,2.751912665299654e-05,zomato_hotel_kadamba_veg,Hotel Kadamba Veg
18662257,Sagar,12.9883566498,77.5771397352,restaurant,7968,zomato,1397932200.0,1688639100,2.7409050146384557e-05,zomato_sagar,Sagar
ChIJedCfA8gXrjsRyvBb5htk9WQ,Adyar Ananda Bhavan - A2B,13.022737503051758,77.58480072021484,restaurant,5600,gmaps_v2,1494732854.0,1699615207,2.7332759107857372e-05,aabsweets,Adyar Ananda Bhavan
ChIJpyR7QjAXrjsRYJ0jo2ZLR0A,"Mia by Tanishq - Mathikere, Bengaluru",13.029178619384766,77.57112884521484,jewelry_store,199,gmaps_v2,1680365712.0,1687847039,2.659955914238209e-05,miabytanishq,Mia by Tanishq
ChIJDw_SAyMWrjsR0ZrsV6IxVzo,Pantaloons,12.991272926330566,77.5708236694336,clothing_store,3587,gmaps_v2,1547539797.0,1687847039,2.556532327818118e-05,pantaloons,Pantaloons
ChIJt1pAtzgXrjsRIbRneYW7-40,KAILASH PARBAT - Pure Vegetarian Restaurant,13.007472038269045,77.5796127319336,restaurant,1662,gmaps_v2,1634383880.0,1699615207,2.547855572522693e-05,kailashparbatgroup,Kailash Parbat Group
58995,Polar Bear,12.9914638582,77.5386929512,restaurant,7313,zomato,1397932200.0,1688639100,2.515592165167046e-05,zomato_polar_bear,Polar Bear
ChIJqdBqWuY9rjsRKSsIJLFV4lA,Popeyes,12.992874145507812,77.53865814208984,restaurant,1076,gmaps_v2,1656495189.0,1699615207,2.4953607394134205e-05,popeyes,Popeyes India
ChIJmZhJJqYVrjsRxr8gliqVH9s,McDonald's,13.029296875,77.57078552246094,restaurant,5375,gmaps_v2,1481552129.0,1699615207,2.4648831197365743e-05,mcdelivery,McDonald's
ChIJS40R1yUWrjsRxF-mwpB3I3Q,Adyar Ananda Bhavan - A2B,12.997613906860352,77.57112121582031,restaurant,4751,gmaps_v2,1501585203.0,1699615207,2.399131396270638e-05,aabsweets,Adyar Ananda Bhavan
ChIJafRSQwsXrjsReHlTbN-bKgo,Pizza Hut,12.981548309326172,77.56342315673828,restaurant,228,gmaps_v2,1690007458.0,1699615207,2.37308447587463e-05,pizzahut,Pizza Hut
ChIJASI-wTM9rjsRDIJNudncRZk,India Sweet House - Vijayanagar,12.972641944885254,77.53876495361328,restaurant,677,gmaps_v2,1659273988.0,1687847039,2.369365455582605e-05,indiasweethouse,indiasweethouse
ChIJabFj-5AXrjsRz26fqdK6GNM,Aubree@Sanjaynagar,13.028180122375488,77.57327270507812,restaurant,76,gmaps_v2,1684587470.0,1687847039,2.331596600654872e-05,aubree,Aubree Haute Chocolaterie
19528181,Imperio Restaurant,12.9834489388,77.5488233194,restaurant,6757,zomato,1397932200.0,1688639100,2.32433423492872e-05,zomato_imperio_restaurant,Imperio Restaurant
ChIJSarVoHg9rjsRzIKMZGGsnLk,Shoppers Stop,13.010665893554688,77.55512237548828,clothing_store,3127,gmaps_v2,1551703615.0,1687847039,2.2968424828216453e-05,shoppersstop,Shoppers Stop
ChIJzZWOWNsXrjsRLHZGGgj8Eg0,Max,13.028395652770996,77.57221984863281,clothing_store,3920,gmaps_v2,1515045807.0,1687847039,2.268502344936985e-05,maxfashion,Max Fashion
ChIJ42tcHZY9rjsR-h8bhiSZwHo,Kushal's Fashion Jewellery,12.993565559387209,77.53898620605469,jewelry_store,896,gmaps_v2,1646745553.0,1687847039,2.179969843426099e-05,kushals,Kushal's Fashion Jewellery
51039,Truffles,13.0281946411,77.5731197745,restaurant,6258,zomato,1397932200.0,1688639100,2.1526836824306546e-05,zomato_truffles,Truffles
