,id,name,lat,lng,category,source,number_of_votes,reviews_per_day
133,50818,Polar Bear,13.028080315,77.573226057,restaurant,zomato,8231,2.8313741435101816e-05
134,19133043,Paakashala,13.00582,77.57136,restaurant,zomato,8230,2.831030154427019e-05
135,ChIJXx535Io9rjsRxPHSPe5DJvw,Toscano,13.01132583618164,77.55533599853516,restaurant,gmaps_v2,4827,2.766966446969225e-05
136,ChIJw8PDi9wXrjsRJ8SGGaaFtrk,McDonald's,13.03343391418457,77.53109741210938,restaurant,gmaps_v2,6059,2.764494443067317e-05
137,59668,By 2 Coffee,12.998310622,77.5696399435,restaurant,zomato,8019,2.758448457879741e-05
138,56016,Hotel Kadamba Veg,12.9974957,77.5474606,restaurant,zomato,8000,2.751912665299654e-05
139,18662257,Sagar,12.9883566498,77.5771397352,restaurant,zomato,7968,2.740905014638456e-05
140,ChIJRa50lBcWrjsRgmmpCrmHqcw,Sanman Restaurant,12.986434936523438,77.57479858398438,restaurant,gmaps_v2,5345,2.7362848381085137e-05
141,ChIJedCfA8gXrjsRyvBb5htk9WQ,Adyar Ananda Bhavan - A2B,13.022737503051758,77.58480072021484,restaurant,gmaps_v2,5600,2.733275910785737e-05
142,ChIJ2eHoGBQXrjsR4EEjU5xHjfE,Bharjari Bhojana,12.99790382385254,77.5712890625,restaurant,gmaps_v2,565,2.70035460196343e-05
143,ChIJAQAAQDAWrjsR7LcDY1uvLfk,Sapna Book House,13.005184173583984,77.5787124633789,shoe_store,gmaps_v2,5305,2.6811742334213307e-05
144,ChIJcx5ZaAE9rjsRK3AASayHGeI,The illusion Cafe,12.997389793395996,77.5482177734375,restaurant,gmaps_v2,2214,2.678316998825557e-05
145,ChIJpyR7QjAXrjsRYJ0jo2ZLR0A,"Mia by Tanishq - Mathikere, Bengaluru",13.029178619384766,77.57112884521484,jewelry_store,gmaps_v2,199,2.659955914238209e-05
146,ChIJMVE9iWA9rjsRLqEA5KcqN5w,Sri Gurudarshan Sweets,13.032292366027832,77.55880737304688,coffee_shop,gmaps_v2,2119,2.643436857131968e-05
147,18937506,Om Meals & Paratha Junction,13.0308077943,77.5622615218,restaurant,zomato,7559,2.6002134796250103e-05
148,ChIJE1jxxuo9rjsRFtrS-l0yIXs,Cave-n-Dine,12.986312866210938,77.5405502319336,restaurant,gmaps_v2,5514,2.5725921084901932e-05
149,ChIJbT3b7Zw9rjsRuMBLy88Mixc,Hot Coffee,13.006217002868652,77.54850769042969,restaurant,gmaps_v2,4467,2.5629862623821584e-05
150,ChIJDw_SAyMWrjsR0ZrsV6IxVzo,Pantaloons,12.991272926330566,77.5708236694336,clothing_store,gmaps_v2,3587,2.556532327818118e-05
151,ChIJCbFs_WEXrjsRB7Nu-guxPNE,Basaveshwar Khanavali (The Original),12.999329566955566,77.57225036621094,restaurant,gmaps_v2,2469,2.5558962554567063e-05
152,ChIJt1pAtzgXrjsRIbRneYW7-40,KAILASH PARBAT - Pure Vegetarian Restaurant,13.007472038269045,77.5796127319336,restaurant,gmaps_v2,1662,2.547855572522693e-05
153,ChIJu7j4OQQ9rjsRJtQgvCAjn0U,House Of Raadhya,12.988388061523438,77.53773498535156,clothing_store,gmaps_v2,182,2.543139399391519e-05
154,ChIJ1aDbcp49rjsRkupabM43oKk,Davangere Butter Dosa Hotel,13.00857639312744,77.54385375976562,restaurant,gmaps_v2,4303,2.530559237418944e-05
155,58995,Polar Bear,12.9914638582,77.5386929512,restaurant,zomato,7313,2.515592165167046e-05
156,ChIJqdBqWuY9rjsRKSsIJLFV4lA,Popeyes,12.992874145507812,77.53865814208984,restaurant,gmaps_v2,1076,2.4953607394134205e-05
157,ChIJxa6khY89rjsRmTG3TXrGxkU,Jalpaan,12.998848915100098,77.552490234375,restaurant,gmaps_v2,5359,2.465331568096433e-05
158,ChIJmZhJJqYVrjsRxr8gliqVH9s,McDonald's,13.029296875,77.57078552246094,restaurant,gmaps_v2,5375,2.4648831197365743e-05
159,55943,Soundarya Paradise,13.0427185235,77.5130624324,restaurant,zomato,7051,2.4254670253784825e-05
160,ChIJS40R1yUWrjsRxF-mwpB3I3Q,Adyar Ananda Bhavan - A2B,12.997613906860352,77.57112121582031,restaurant,gmaps_v2,4751,2.399131396270638e-05
161,ChIJafRSQwsXrjsReHlTbN-bKgo,Pizza Hut,12.981548309326172,77.56342315673828,restaurant,gmaps_v2,228,2.37308447587463e-05
162,ChIJASI-wTM9rjsRDIJNudncRZk,India Sweet House - Vijayanagar,12.972641944885254,77.53876495361328,restaurant,gmaps_v2,677,2.369365455582605e-05
163,ChIJ1UhU1Ow9rjsRtp62CQE_bdE,"Maruti Suzuki ARENA (Mandovi Motors, Bengaluru, Basaveshwara Nagar)",12.984569549560549,77.54720306396484,coffee_shop,gmaps_v2,3624,2.362938637600261e-05
164,ChIJabFj-5AXrjsRz26fqdK6GNM,Aubree@Sanjaynagar,13.028180122375488,77.57327270507812,restaurant,gmaps_v2,76,2.331596600654872e-05
165,19528181,Imperio Restaurant,12.9834489388,77.5488233194,restaurant,zomato,6757,2.32433423492872e-05
166,ChIJezFY_XkXrjsRtFax4I97jO4,A Blooming Onion - Yellow Box,13.00407600402832,77.55380249023438,restaurant,gmaps_v2,80,2.314028072053049e-05
167,18487171,Tripti Hotel & Restaurant,13.0335597414,77.5662985817,restaurant,zomato,6704,2.3061028135211105e-05
168,ChIJA-atQSwWrjsRjAlLxuXrxIE,WallPlays Wallpaper,12.997588157653809,77.57246398925781,home_decor,gmaps_v2,1753,2.3036342965179196e-05
169,ChIJf7Re8X49rjsRiSmwhlnOzGE,Mathura silks and sarees,13.010955810546877,77.5505142211914,clothing_store,gmaps_v2,507,2.3020857805292215e-05
170,ChIJSarVoHg9rjsRzIKMZGGsnLk,Shoppers Stop,13.010665893554688,77.55512237548828,clothing_store,gmaps_v2,3127,2.2968424828216453e-05
171,18426395,Sultan Rolls & Sandwiches,13.030082647,77.5629293919,restaurant,zomato,6655,2.2892473484461495e-05
172,ChIJaQKjvpU9rjsRIrMVoigCfY4,Basaveshwaranagar Benne Dose Corner,12.991209030151367,77.54071807861328,restaurant,gmaps_v2,4927,2.2816670189890268e-05
173,ChIJzZWOWNsXrjsRLHZGGgj8Eg0,Max,13.028395652770996,77.57221984863281,clothing_store,gmaps_v2,3920,2.268502344936985e-05
174,ChIJ00TElAw9rjsRK8FetE3TiHM,Brahmins thatte idli,12.986205101013184,77.54153442382812,restaurant,gmaps_v2,3066,2.265492438143134e-05
175,ChIJIX47M-MXrjsRwACeNJ66MOk,Cotton Candy Station,12.981293678283691,77.56309509277344,restaurant,gmaps_v2,13,2.21839974880889e-05
