"id","name","lat","lng","top_category","type","sub_categories","category","brand_name","brand_id","address","source","number_of_votes","rating","town_name","pincode","created_at","verified","last_verification_date","active","image_url","services","oldest_review_timestamp","top_reviews","top_review_keywords","price_level","additional_data"
"509fb614-95c2-4afe-9ed7-2cf2556e6b4d","Tenova India Pvt Ltd (Techint)","13.0051641","77.5425113","company","MNC","[Mineral, Metal, Mining]","Private Sector","N_A","N_A"," - 108/D, 6th Main Road Peenya    III Phase Peenya Industrial Area","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.tenova.com, scrape_url=https://www.fundoodata.com/companies-detail/tenova-india-pvt-ltd-bangalore-bengaluru/112978.html}"
"1373e732-c9a2-4184-ac24-37267ecb9519","3AG Network Solutions Pvt Ltd","13.0018958","77.5753413","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - 11/1, B.R.S Arcade 2nd Floor    Datahthraya temple street 8th cross,  Malleshwaram,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.3agns.com, scrape_url=https://www.fundoodata.com/companies-detail/3ag-network-solutions-pvt-ltd-bangalore-bengaluru/113907.html}"
"9daa448f-995d-4b42-8fa5-7776fdb196da","Sheeltron Digital Systems Pvt Ltd","12.9875377","77.5735951","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - No. 10, Seshadripuram Main Road Seshadripuram  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.sheeltron.com, scrape_url=https://www.fundoodata.com/companies-detail/sheeltron-digital-systems-pvt-ltd-bangalore-bengaluru/114226.html}"
"b6b715f9-feaf-4613-9d72-886a039cc41c","Apponix Technologies Pvt Ltd","12.98825045","77.5560273","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - 1st Floor, Above Riti Jewelry, 306, 46th Cross Rd,    4th Block, Siddaramana Dinne, Rajajinagar","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.apponix.com, scrape_url=https://www.fundoodata.com/companies-detail/apponix-technologies-pvt-ltd-bangalore-bengaluru/114642.html}"
"0efe8c91-b61f-4269-954c-4bb3c14dcec5","Remidio Innovative Solutions Pvt Ltd","13.0398696","77.5220214","company","SMEs","[Hospitals, Healthcare]","Private Sector","N_A","N_A"," - #1-51-2/12,( II Floor) Vacuum Techniques Compound,    Peenya Industrial Area, Phase-I","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.remidio.com, scrape_url=https://www.fundoodata.com/companies-detail/remidio-innovative-solutions-pvt-ltd-bangalore-bengaluru/114796.html}"
"f2ef9045-0816-418d-8c79-4a53c1f203a7","Mahashakthi Engineering & Automation Company","12.9811848","77.5341829","company","SMEs","[Construction, Infrastructure ,Coworking]","Private Sector","N_A","N_A","- No. 105/T Selvam Industrial Estate    Vijayanagar North Magadi Main Road","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.mahashakthi.net, scrape_url=https://www.fundoodata.com/companies-detail/mahashakthi-engineering-automation-company-bangalore-bengaluru/115152.html}"
"1247bfcd-01b1-4fa4-a93c-cdb00566c230","Avi Solar Energy Pvt Ltd","13.0001254","77.5503997","company","SMEs","[Power, Green Energy]","Private Sector","N_A","N_A"," - Contact ​ ​Avi Solar Energy Private Limited No 49, 3rd Floor, VLVC Plaza 19th Main Road, 1st Block Rajajinagar  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.avisolar.com, scrape_url=https://www.fundoodata.com/companies-detail/avi-solar-energy-pvt-ltd-bangalore-bengaluru/115419.html}"
"ed5315e0-ba81-4588-9de3-9da3179acd3b","Gigahertz Computing India Pvt Ltd","12.997344","77.548936","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - 716, Ist Floor, 3rd Main, 9th Cross    Dr. Modi Hospital Road West of Chord Road Rajajinagar","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.gigahertzcomp.com, scrape_url=https://www.fundoodata.com/companies-detail/gigahertz-computing-india-pvt-ltd-bangalore-bengaluru/115782.html}"
"376b0a76-0374-40e7-9567-02575aa0078c","MIPS Information Technology Ltd","13.01127225","77.5349822","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - 313,A    4th block,Basaweshwar Naga","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.mipsoft.com, scrape_url=https://www.fundoodata.com/companies-detail/mips-information-technology-ltd-bangalore-bengaluru/115883.html}"
"92ea5e8e-36ed-4393-8aef-33ccf6fcd875","Sreyah Novel Inc","12.9883027","77.5490986","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - No. 43, Shivanahalli Main Road    Rajajinagar, 60 Feet Rd, Shivanagar,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.sreyahnovel.com, scrape_url=https://www.fundoodata.com/companies-detail/sreyah-novel-inc-bangalore-bengaluru/115934.html}"
"bb205f15-4939-4db5-97ff-9457ffd0fe41","Trade Vision India Pvt. Ltd. (Trade Vision Group)","13.0079695","77.5712681","company","Industry Top","[Construction, Infrastructure ,Coworking]","Private Sector","N_A","N_A"," - 7, 17th Cross, Off Margosa Road    Malleswaram","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.tradevisionindia.com, scrape_url=https://www.fundoodata.com/companies-detail/trade-vision-india-pvt-ltd-trade-vision-group-bangalore-bengaluru/116052.html}"
