"id","name","lat","lng","cid","number_of_votes","place_url","source","category","created_at"
"ChIJh7p5nRs9rjsReY_BdxCr4VI","Arihant Fashion","12.971681594848633","77.54949951171875","0x3bae3d1b9d79ba87:0x52e1ab1077c18f79","0","https://www.google.com/maps/place/?q=place_id:ChIJh7p5nRs9rjsReY_BdxCr4VI","gmaps_v2","clothing_store","1687847039"
"ChIJiUmuX6I9rjsRnDPD_zayzk0","Sri Fashion designers","13.001310348510742","77.53743743896484","0x3bae3da25fae4989:0x4dceb236ffc3339c","1","https://www.google.com/maps/place/?q=place_id:ChIJiUmuX6I9rjsRnDPD_zayzk0","gmaps_v2","clothing_store","1687847039"
"ChIJiT6uC5Y9rjsRXXBDgjvw4nQ","Rk fashion","13.03429889678955","77.55888366699219","0x3bae3d960bae3e89:0x74e2f03b8243705d","2","https://www.google.com/maps/place/?q=place_id:ChIJiT6uC5Y9rjsRXXBDgjvw4nQ","gmaps_v2","clothing_store","1687847039"
"ChIJh57MjS4WrjsRt5WhUm7Ds1o","Suchh","12.999117851257324","77.56993865966797","0x3bae162e8dcc9e87:0x5ab3c36e52a195b7","35","https://www.google.com/maps/place/?q=place_id:ChIJh57MjS4WrjsRt5WhUm7Ds1o","gmaps_v2","clothing_store","1687847039"
"ChIJ9RcV-TMWrjsR6A3_s06mNvY","Modern Hosiery Centre","12.980566024780273","77.55400085449219","0x3bae1633f91517f5:0xf636a64eb3ff0de8","1","https://www.google.com/maps/place/?q=place_id:ChIJ9RcV-TMWrjsR6A3_s06mNvY","gmaps_v2","clothing_store","1687847039"
"ChIJmaqq2iM9rjsR70dK7B8DOXw","jc creations","13.035059928894043","77.52252960205078","0x3bae3d23daaaaa99:0x7c39031fec4a47ef","6","https://www.google.com/maps/place/?q=place_id:ChIJmaqq2iM9rjsR70dK7B8DOXw","gmaps_v2","clothing_store","1687847039"
"ChIJq5PGQsA9rjsRhQG0Fr6WkQc","Vishnu Industries","12.985494613647461","77.53691864013672","0x3bae3dc042c693ab:0x79196be16b40185","0","https://www.google.com/maps/place/?q=place_id:ChIJq5PGQsA9rjsRhQG0Fr6WkQc","gmaps_v2","clothing_store","1687847039"
"ChIJLXWRWdk9rjsRM3lQzlc-3Qg","Janani Enterprises","12.970622062683105","77.55170440673828","0x3bae3dd95991752d:0x8dd3e57ce507933","0","https://www.google.com/maps/place/?q=place_id:ChIJLXWRWdk9rjsRM3lQzlc-3Qg","gmaps_v2","clothing_store","1687847039"
"ChIJDWKzRDE9rjsR0dPppjamHmA","Hitesh textiles","12.983287811279297","77.55113220214844","0x3bae3d3144b3620d:0x601ea636a6e9d3d1","0","https://www.google.com/maps/place/?q=place_id:ChIJDWKzRDE9rjsR0dPppjamHmA","gmaps_v2","clothing_store","1687847039"
"ChIJZcIRKpQ9rjsRrnIAm-dLXO4","Balaji Fashion","12.992868423461914","77.54219055175781","0x3bae3d942a11c265:0xee5c4be79b0072ae","6","https://www.google.com/maps/place/?q=place_id:ChIJZcIRKpQ9rjsRrnIAm-dLXO4","gmaps_v2","clothing_store","1687847039"
"ChIJZ5iK2zg9rjsRJr0TxV3CSUI","Ellgofashion","13.028755187988281","77.56135559082031","0x3bae3d38db8a9867:0x4249c25dc513bd26","0","https://www.google.com/maps/place/?q=place_id:ChIJZ5iK2zg9rjsRJr0TxV3CSUI","gmaps_v2","clothing_store","1687847039"
"ChIJ47F2mOU9rjsRL3nWV7DmSoo","Alankar Designer Boutique","13.019911766052246","77.53489685058594","0x3bae3de59876b1e3:0x8a4ae6b057d6792f","5","https://www.google.com/maps/place/?q=place_id:ChIJ47F2mOU9rjsRL3nWV7DmSoo","gmaps_v2","clothing_store","1687847039"
"ChIJKyHp4SMWrjsRVAQn75trwtU","Asha Ladies Fashions","12.993023872375488","77.56770324707031","0x3bae1623e1e9212b:0xd5c26b9bef270454","2","https://www.google.com/maps/place/?q=place_id:ChIJKyHp4SMWrjsRVAQn75trwtU","gmaps_v2","clothing_store","1687847039"
"ChIJ2-448KI9rjsRCOAwMs3r1_Q","Jai Bharav Garments","13.000517845153809","77.53697967529297","0x3bae3da2f038eedb:0xf4d7ebcd3230e008","1","https://www.google.com/maps/place/?q=place_id:ChIJ2-448KI9rjsRCOAwMs3r1_Q","gmaps_v2","clothing_store","1687847039"
"ChIJf-DB2DM9rjsRFoFt5IOUfmg","stylish kurti collection","13.028878211975098","77.5400390625","0x3bae3d33d8c1e07f:0x687e9483e46d8116","0","https://www.google.com/maps/place/?q=place_id:ChIJf-DB2DM9rjsRFoFt5IOUfmg","gmaps_v2","clothing_store","1687847039"
"ChIJV6K2TyUWrjsRGrUoD5ugIIA","Bombay Saree Centre","12.999239921569824","77.57284545898438","0x3bae16254fb6a257:0x8020a09b0f28b51a","0","https://www.google.com/maps/place/?q=place_id:ChIJV6K2TyUWrjsRGrUoD5ugIIA","gmaps_v2","clothing_store","1687847039"
"ChIJTf3rC149rjsRO_HFNQlwroo","Macho Tailor","13.034994125366211","77.55721282958984","0x3bae3d5e0bebfd4d:0x8aae700935c5f13b","3","https://www.google.com/maps/place/?q=place_id:ChIJTf3rC149rjsRO_HFNQlwroo","gmaps_v2","clothing_store","1687847039"
"ChIJHYJ2iyUWrjsRNHylnzpAj9A","Kalakruthi","12.999173164367676","77.57015991210938","0x3bae16258b76821d:0xd08f403a9fa57c34","4","https://www.google.com/maps/place/?q=place_id:ChIJHYJ2iyUWrjsRNHylnzpAj9A","gmaps_v2","clothing_store","1687847039"
"ChIJ7Rt14jQ9rjsRAm4KpqXbpak","Swaroop Creations","12.986543655395508","77.53836059570312","0x3bae3d34e2751bed:0xa9a5dba5a60a6e02","0","https://www.google.com/maps/place/?q=place_id:ChIJ7Rt14jQ9rjsRAm4KpqXbpak","gmaps_v2","clothing_store","1687847039"
"ChIJe7DesUI9rjsR2GAq7Y8QVmo","E V E Designers","12.993181228637695","77.53636932373047","0x3bae3d42b1deb07b:0x6a56108fed2a60d8","2","https://www.google.com/maps/place/?q=place_id:ChIJe7DesUI9rjsR2GAq7Y8QVmo","gmaps_v2","clothing_store","1687847039"
"ChIJe05loLo9rjsRl0VrpuzsUxY","Soundarya Ladies Tailor","13.02579402923584","77.55716705322266","0x3bae3dbaa0654e7b:0x1653ececa66b4597","0","https://www.google.com/maps/place/?q=place_id:ChIJe05loLo9rjsRl0VrpuzsUxY","gmaps_v2","clothing_store","1687847039"
"ChIJkXr5_0s9rjsRxdZNYQvNHjM","Kkr Fashion","13.002306938171387","77.53184509277344","0x3bae3d4bfff97a91:0x331ecd0b614dd6c5","0","https://www.google.com/maps/place/?q=place_id:ChIJkXr5_0s9rjsRxdZNYQvNHjM","gmaps_v2","clothing_store","1687847039"
"ChIJhQgMuwk9rjsRCqIDjODpTCk","New Sun Tailour","13.018790245056152","77.550537109375","0x3bae3d09bb0c0885:0x294ce9e08c03a20a","1","https://www.google.com/maps/place/?q=place_id:ChIJhQgMuwk9rjsRCqIDjODpTCk","gmaps_v2","clothing_store","1687847039"
"ChIJ3xW4DCE9rjsRa1qoRRdxCY8","Pk Makeover","13.041611671447754","77.51555633544922","0x3bae3d210cb815df:0x8f09711745a85a6b","0","https://www.google.com/maps/place/?q=place_id:ChIJ3xW4DCE9rjsRa1qoRRdxCY8","gmaps_v2","clothing_store","1687847039"
"ChIJXWokJJo9rjsRO-bbkoV4PQs","Spotlight On Style Fashion Studio","13.000629425048828","77.5450439453125","0x3bae3d9a24246a5d:0xb3d788592dbe63b","0","https://www.google.com/maps/place/?q=place_id:ChIJXWokJJo9rjsRO-bbkoV4PQs","gmaps_v2","clothing_store","1687847039"
"ChIJ9UPzeI0XrjsRi2Sl-cYHNR8","Geetha design studio","13.033266067504883","77.5683364868164","0x3bae178d78f343f5:0x1f3507c6f9a5648b","1","https://www.google.com/maps/place/?q=place_id:ChIJ9UPzeI0XrjsRi2Sl-cYHNR8","gmaps_v2","clothing_store","1687847039"
"ChIJmSmBd9E9rjsRXnbYDibxYIs","SIDHI RIDHI COLLECTIONS","13.00075912475586","77.53579711914062","0x3bae3dd177812999:0x8b60f1260ed8765e","0","https://www.google.com/maps/place/?q=place_id:ChIJmSmBd9E9rjsRXnbYDibxYIs","gmaps_v2","clothing_store","1687847039"
"ChIJwX-CvHg9rjsRP2LqW0To4ZU","Soch","13.011089324951172","77.55504608154297","0x3bae3d78bc827fc1:0x95e1e8445bea623f","208","https://www.google.com/maps/place/?q=place_id:ChIJwX-CvHg9rjsRP2LqW0To4ZU","gmaps_v2","clothing_store","1687847039"
"ChIJtdKxJGs9rjsRgl6OhK9xBY8","Poonam's Ladies Gents Wear House","13.028878211975098","77.5400390625","0x3bae3d6b24b1d2b5:0x8f0571af848e5e82","0","https://www.google.com/maps/place/?q=place_id:ChIJtdKxJGs9rjsRgl6OhK9xBY8","gmaps_v2","clothing_store","1687847039"
"ChIJvZJjjZkXrjsRadnMUbrqXYQ","Simple fabrics","12.986082077026367","77.5628662109375","0x3bae17998d6392bd:0x845deaba51ccd969","1","https://www.google.com/maps/place/?q=place_id:ChIJvZJjjZkXrjsRadnMUbrqXYQ","gmaps_v2","clothing_store","1687847039"
"ChIJ3ZzqsoQ9rjsRlR1fbjARqp4","Kids Corner","13.003824234008789","77.55056762695312","0x3bae3d84b2ea9cdd:0x9eaa11306e5f1d95","11","https://www.google.com/maps/place/?q=place_id:ChIJ3ZzqsoQ9rjsRlR1fbjARqp4","gmaps_v2","clothing_store","1687847039"
"ChIJe8I3-ikWrjsRL5NsOdydbQk","Hi Fashion","13.004766464233398","77.56251525878906","0x3bae1629fa37c27b:0x96d9ddc396c932f","3","https://www.google.com/maps/place/?q=place_id:ChIJe8I3-ikWrjsRL5NsOdydbQk","gmaps_v2","clothing_store","1687847039"
"ChIJl4wszuQ9rjsRNUAyYQTYKLI","Maharaja Fashion","12.972745895385742","77.54996490478516","0x3bae3de4ce2c8c97:0xb228d80461324035","3","https://www.google.com/maps/place/?q=place_id:ChIJl4wszuQ9rjsRNUAyYQTYKLI","gmaps_v2","clothing_store","1687847039"
"ChIJ55lM2lwXrjsRURRtJl7uepU","Kids City (New Bel Road)","13.028557777404785","77.5714111328125","0x3bae175cda4c99e7:0x957aee5e266d1451","45","https://www.google.com/maps/place/?q=place_id:ChIJ55lM2lwXrjsRURRtJl7uepU","gmaps_v2","clothing_store","1687847039"
